Date,Open,High,Low,Close,Adj Close,Volume
2015-12-28,2.914690,2.923560,2.904910,2.915370,2.915370,0
2015-12-29,2.905350,2.914500,2.902200,2.905400,2.905400,0
2015-12-30,2.906300,2.921310,2.904200,2.904800,2.904800,0
2015-12-31,2.920100,2.929770,2.906000,2.920090,2.920090,0
2016-01-01,2.911900,2.911900,2.911900,2.911900,2.911900,0
2016-01-04,2.916460,2.973870,2.913790,2.916150,2.916150,0
2016-01-05,2.964240,2.990430,2.956500,2.964320,2.964320,0
2016-01-06,2.985820,3.013470,2.981800,2.985040,2.985040,0
2016-01-07,3.001550,3.026730,2.988060,3.001000,3.001000,0
2016-01-08,3.000400,3.013900,2.983000,3.000400,3.000400,0
2016-01-11,3.035450,3.037760,3.012220,3.034800,3.034800,0
2016-01-12,3.034360,3.046890,3.024440,3.034290,3.034290,0
2016-01-13,3.032000,3.032080,3.005520,3.031960,3.031960,0
2016-01-14,3.027000,3.040220,3.017000,3.027100,3.027100,0
2016-01-15,3.024820,3.047260,3.021400,3.023500,3.023500,0
2016-01-18,3.047260,3.047820,3.028900,3.050060,3.050060,0
2016-01-19,3.034820,3.044960,3.019980,3.034830,3.034830,0
2016-01-20,3.037280,3.060340,3.035600,3.037420,3.037420,0
2016-01-21,3.039900,3.052820,3.025590,3.040750,3.040750,0
2016-01-22,3.015750,3.021020,3.004400,3.015930,3.015930,0
2016-01-25,3.003870,3.021240,2.998400,3.002350,3.002350,0
2016-01-26,3.021810,3.034370,3.004930,3.021810,3.021810,0
2016-01-27,3.007300,3.016500,2.987640,3.006770,3.006770,0
2016-01-28,2.999200,3.001410,2.967910,2.999020,2.999020,0
2016-01-29,2.969000,2.975460,2.955760,2.969510,2.969510,0
2016-02-01,2.954080,2.976680,2.952010,2.954500,2.954500,0
2016-02-02,2.945350,2.960000,2.943000,2.945350,2.945350,0
2016-02-03,2.953580,2.963550,2.929000,2.952660,2.952660,0
2016-02-04,2.914280,2.925200,2.890100,2.914700,2.914700,0
2016-02-05,2.912950,2.923120,2.898370,2.911610,2.911610,0
2016-02-08,2.915060,2.953560,2.913130,2.914380,2.914380,0
2016-02-09,2.945530,2.961750,2.930970,2.945910,2.945910,0
2016-02-10,2.938150,2.941500,2.918760,2.938050,2.938050,0
2016-02-11,2.920250,2.944260,2.916000,2.919100,2.919100,0
2016-02-12,2.929800,2.936500,2.920500,2.930680,2.930680,0
2016-02-15,2.935200,2.953510,2.925000,2.935300,2.935300,0
2016-02-16,2.948370,2.972520,2.943000,2.945720,2.945720,0
2016-02-17,2.976240,2.983680,2.946320,2.976320,2.976320,0
2016-02-18,2.954930,2.968990,2.949600,2.954900,2.954900,0
2016-02-19,2.967570,2.974690,2.955700,2.967800,2.967800,0
2016-02-22,2.950600,2.953680,2.940870,2.950960,2.950960,0
2016-02-23,2.934980,2.945230,2.929500,2.934700,2.934700,0
2016-02-24,2.941040,2.951780,2.935470,2.941030,2.941030,0
2016-02-25,2.936080,2.941950,2.919660,2.935910,2.935910,0
2016-02-26,2.926880,2.961490,2.922240,2.926820,2.926820,0
2016-02-29,2.988010,2.989750,2.954560,2.987950,2.987950,0
2016-03-01,2.962850,2.964760,2.940800,2.962950,2.962950,0
2016-03-02,2.934920,2.946930,2.932300,2.934490,2.934490,0
2016-03-03,2.924770,2.932420,2.912770,2.925170,2.925170,0
2016-03-04,2.910020,2.925020,2.905010,2.909970,2.909970,0
2016-03-07,2.904100,2.930370,2.903440,2.904880,2.904880,0
2016-03-08,2.915550,2.929470,2.910380,2.915400,2.915400,0
2016-03-09,2.911860,2.917820,2.891520,2.911770,2.911770,0
2016-03-10,2.892800,2.899520,2.875760,2.893060,2.893060,0
2016-03-11,2.891020,2.892020,2.869860,2.891050,2.891050,0
2016-03-14,2.871640,2.886220,2.868540,2.871810,2.871810,0
2016-03-15,2.871120,2.911030,2.868600,2.870820,2.870820,0
2016-03-16,2.896350,2.929180,2.895000,2.896870,2.896870,0
2016-03-17,2.869090,2.872350,2.843520,2.869140,2.869140,0
