,Tarih,Saat,GUNES
0,2019-11-06,00:00:00,0.0
1,2019-11-06,01:00:00,0.0
2,2019-11-06,02:00:00,0.0
3,2019-11-06,03:00:00,0.0
4,2019-11-06,04:00:00,0.0
5,2019-11-06,05:00:00,0.0
6,2019-11-06,06:00:00,0.0
7,2019-11-06,07:00:00,1.61
8,2019-11-06,08:00:00,8.49
9,2019-11-06,09:00:00,14.56
10,2019-11-06,10:00:00,17.71
11,2019-11-06,11:00:00,17.84
12,2019-11-06,12:00:00,17.86
13,2019-11-06,13:00:00,17.86
14,2019-11-06,14:00:00,16.78
15,2019-11-06,15:00:00,11.89
16,2019-11-06,16:00:00,5.14
17,2019-11-06,17:00:00,0.35
18,2019-11-06,18:00:00,0.0
19,2019-11-06,19:00:00,0.0
20,2019-11-06,20:00:00,0.0
21,2019-11-06,21:00:00,0.0
22,2019-11-06,22:00:00,0.0
23,2019-11-06,23:00:00,0.0
24,2019-11-07,00:00:00,0.0
25,2019-11-07,01:00:00,0.0
26,2019-11-07,02:00:00,0.0
27,2019-11-07,03:00:00,0.0
28,2019-11-07,04:00:00,0.0
29,2019-11-07,05:00:00,0.0
30,2019-11-07,06:00:00,0.0
31,2019-11-07,07:00:00,1.68
32,2019-11-07,08:00:00,8.97
33,2019-11-07,09:00:00,15.44
34,2019-11-07,10:00:00,17.82
35,2019-11-07,11:00:00,17.86
36,2019-11-07,12:00:00,17.84
37,2019-11-07,13:00:00,17.86
38,2019-11-07,14:00:00,16.85
39,2019-11-07,15:00:00,12.12
40,2019-11-07,16:00:00,5.29
41,2019-11-07,17:00:00,0.35
42,2019-11-07,18:00:00,0.0
43,2019-11-07,19:00:00,0.0
44,2019-11-07,20:00:00,0.0
45,2019-11-07,21:00:00,0.0
46,2019-11-07,22:00:00,0.0
47,2019-11-07,23:00:00,0.0
48,2019-11-08,00:00:00,0.0
49,2019-11-08,01:00:00,0.0
50,2019-11-08,02:00:00,0.0
51,2019-11-08,03:00:00,0.0
52,2019-11-08,04:00:00,0.0
53,2019-11-08,05:00:00,0.0
54,2019-11-08,06:00:00,0.0
55,2019-11-08,07:00:00,1.43
56,2019-11-08,08:00:00,8.31
57,2019-11-08,09:00:00,14.36
58,2019-11-08,10:00:00,17.66
59,2019-11-08,11:00:00,17.84
60,2019-11-08,12:00:00,17.85
61,2019-11-08,13:00:00,17.86
62,2019-11-08,14:00:00,16.15
63,2019-11-08,15:00:00,11.26
64,2019-11-08,16:00:00,4.66
65,2019-11-08,17:00:00,0.35
66,2019-11-08,18:00:00,0.0
67,2019-11-08,19:00:00,0.0
68,2019-11-08,20:00:00,0.0
69,2019-11-08,21:00:00,0.0
70,2019-11-08,22:00:00,0.0
71,2019-11-08,23:00:00,0.0
72,2019-11-09,00:00:00,0.0
73,2019-11-09,01:00:00,0.0
74,2019-11-09,02:00:00,0.0
75,2019-11-09,03:00:00,0.0
76,2019-11-09,04:00:00,0.0
77,2019-11-09,05:00:00,0.0
78,2019-11-09,06:00:00,0.0
79,2019-11-09,07:00:00,1.18
80,2019-11-09,08:00:00,7.56
81,2019-11-09,09:00:00,13.73
82,2019-11-09,10:00:00,17.41
83,2019-11-09,11:00:00,17.84
84,2019-11-09,12:00:00,17.86
85,2019-11-09,13:00:00,17.86
86,2019-11-09,14:00:00,15.85
87,2019-11-09,15:00:00,11.13
88,2019-11-09,16:00:00,4.85
89,2019-11-09,17:00:00,0.0
90,2019-11-09,18:00:00,0.0
91,2019-11-09,19:00:00,0.0
92,2019-11-09,20:00:00,0.0
93,2019-11-09,21:00:00,0.0
94,2019-11-09,22:00:00,0.0
95,2019-11-09,23:00:00,0.0
96,2019-11-10,00:00:00,0.0
97,2019-11-10,01:00:00,0.0
98,2019-11-10,02:00:00,0.0
99,2019-11-10,03:00:00,0.0
100,2019-11-10,04:00:00,0.0
101,2019-11-10,05:00:00,0.0
102,2019-11-10,06:00:00,0.0
103,2019-11-10,07:00:00,1.08
104,2019-11-10,08:00:00,7.04
105,2019-11-10,09:00:00,13.45
106,2019-11-10,10:00:00,17.26
107,2019-11-10,11:00:00,17.86
108,2019-11-10,12:00:00,17.86
109,2019-11-10,13:00:00,17.58
110,2019-11-10,14:00:00,15.44
111,2019-11-10,15:00:00,10.4
112,2019-11-10,16:00:00,3.12
113,2019-11-10,17:00:00,0.35
114,2019-11-10,18:00:00,0.0
115,2019-11-10,19:00:00,0.0
116,2019-11-10,20:00:00,0.0
117,2019-11-10,21:00:00,0.0
118,2019-11-10,22:00:00,0.0
119,2019-11-10,23:00:00,0.0
120,2019-11-11,00:00:00,0.0
121,2019-11-11,01:00:00,0.0
122,2019-11-11,02:00:00,0.0
123,2019-11-11,03:00:00,0.0
124,2019-11-11,04:00:00,0.0
125,2019-11-11,05:00:00,0.0
126,2019-11-11,06:00:00,0.0
127,2019-11-11,07:00:00,0.93
128,2019-11-11,08:00:00,6.7
129,2019-11-11,09:00:00,12.87
130,2019-11-11,10:00:00,16.7
131,2019-11-11,11:00:00,17.86
132,2019-11-11,12:00:00,17.86
133,2019-11-11,13:00:00,17.64
134,2019-11-11,14:00:00,14.59
135,2019-11-11,15:00:00,9.39
136,2019-11-11,16:00:00,3.35
137,2019-11-11,17:00:00,0.17
138,2019-11-11,18:00:00,0.0
139,2019-11-11,19:00:00,0.0
140,2019-11-11,20:00:00,0.0
141,2019-11-11,21:00:00,0.0
142,2019-11-11,22:00:00,0.0
143,2019-11-11,23:00:00,0.0
144,2019-11-12,00:00:00,0.0
145,2019-11-12,01:00:00,0.0
146,2019-11-12,02:00:00,0.0
147,2019-11-12,03:00:00,0.0
148,2019-11-12,04:00:00,0.0
149,2019-11-12,05:00:00,0.0
150,2019-11-12,06:00:00,0.0
151,2019-11-12,07:00:00,0.83
152,2019-11-12,08:00:00,6.43
153,2019-11-12,09:00:00,12.6
154,2019-11-12,10:00:00,16.68
155,2019-11-12,11:00:00,17.86
156,2019-11-12,12:00:00,17.86
157,2019-11-12,13:00:00,17.74
158,2019-11-12,14:00:00,15.22
159,2019-11-12,15:00:00,10.1
160,2019-11-12,16:00:00,3.6
161,2019-11-12,17:00:00,0.0
162,2019-11-12,18:00:00,0.0
163,2019-11-12,19:00:00,0.0
164,2019-11-12,20:00:00,0.0
165,2019-11-12,21:00:00,0.0
166,2019-11-12,22:00:00,0.0
167,2019-11-12,23:00:00,0.0
168,2019-11-13,00:00:00,0.0
169,2019-11-13,01:00:00,0.0
170,2019-11-13,02:00:00,0.0
171,2019-11-13,03:00:00,0.0
172,2019-11-13,04:00:00,0.0
173,2019-11-13,05:00:00,0.0
174,2019-11-13,06:00:00,0.0
175,2019-11-13,07:00:00,0.88
176,2019-11-13,08:00:00,6.7
177,2019-11-13,09:00:00,13.02
178,2019-11-13,10:00:00,16.28
179,2019-11-13,11:00:00,17.9
180,2019-11-13,12:00:00,16.58
181,2019-11-13,13:00:00,12.87
