,Istasyon_No,Istasyon_Adi,YIL,AY,GUN,SAAT,SICAKLIK_°C
24062,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,2.0,-10.9
24063,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,3.0,-11.1
24064,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,4.0,-11.4
24065,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,5.0,-10.9
24066,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,6.0,-10.3
24067,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,7.0,-8.7
24068,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,8.0,-7.0
24069,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,9.0,-5.5
24070,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,10.0,-4.9
24071,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,11.0,-4.3
24072,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,12.0,-5.0
24073,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,13.0,-5.3
24074,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,14.0,-6.1
24075,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,15.0,-7.4
24076,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,16.0,-8.1
24077,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,17.0,-8.9
24078,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,18.0,-8.8
24079,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,19.0,-9.2
24080,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,20.0,-9.8
24081,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,21.0,-9.5
24082,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,22.0,-10.4
24083,18046,ÇANKAYA/TBMM,2016.0,1.0,1.0,23.0,-10.7
24084,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,0.0,-10.7
24085,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,1.0,-10.7
24086,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,2.0,-11.0
24087,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,3.0,-11.8
24088,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,4.0,-11.4
24089,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,5.0,-11.6
24090,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,6.0,-11.5
24091,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,7.0,-9.6
24092,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,8.0,-7.8
24093,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,9.0,-6.8
24094,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,10.0,-4.9
24095,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,11.0,-4.1
24096,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,12.0,-4.2
24097,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,13.0,-4.9
24098,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,14.0,-5.7
24099,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,15.0,-6.6
24100,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,16.0,-7.1
24101,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,17.0,-7.5
24102,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,18.0,-8.1
24103,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,19.0,-7.8
24104,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,20.0,-8.6
24105,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,21.0,-9.0
24106,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,22.0,-8.7
24107,18046,ÇANKAYA/TBMM,2016.0,1.0,2.0,23.0,-8.7
24108,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,0.0,-8.3
24109,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,1.0,-7.6
24110,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,2.0,-7.0
24111,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,3.0,-7.7
24112,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,4.0,-7.9
24113,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,5.0,-8.0
24114,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,6.0,-7.6
24115,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,7.0,-6.2
24116,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,8.0,-5.2
24117,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,9.0,-4.3
24118,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,10.0,-2.5
24119,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,11.0,-2.2
24120,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,12.0,-1.7
24121,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,13.0,-1.6
24122,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,14.0,-1.7
24123,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,15.0,-1.5
24124,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,16.0,-0.9
24125,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,17.0,-0.6
24126,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,18.0,-0.8
24127,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,19.0,-0.3
24128,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,20.0,0.0
24129,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,21.0,-1.3
24130,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,22.0,-1.3
